City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
270,Bridlington,99,GB,2021-03-19 22:53:21,87,54.0831,-0.1919,43.0,7.58
271,Hukuntsi,71,BW,2021-03-19 22:53:21,44,-24.0,21.75,72.75,5.06
272,Camopi,15,GF,2021-03-19 22:53:21,95,3.1655,-52.3158,72.27,2.95
273,Baijiantan,0,CN,2021-03-19 22:53:21,61,45.6333,85.1833,21.25,5.23
274,Kuito,100,AO,2021-03-19 22:53:22,90,-12.3833,16.9333,60.26,2.77
275,Iquitos,75,PE,2021-03-19 22:53:22,62,-3.7481,-73.2472,87.8,5.75
276,Buala,86,SB,2021-03-19 22:53:22,66,-8.145,159.5921,85.64,2.93
277,Linares,41,CL,2021-03-19 22:53:23,48,-35.85,-71.6,59.9,6.51
278,Bhor,16,IN,2021-03-19 22:53:23,28,18.1667,73.85,72.36,3.15
279,Paita,48,PE,2021-03-19 22:53:23,68,-5.0892,-81.1144,79.0,15.55
280,Padang,75,ID,2021-03-19 22:53:23,100,-0.9492,100.3543,75.2,2.3
281,Niltepec,45,MX,2021-03-19 22:53:24,56,16.5667,-94.6167,79.65,17.02
282,Marrakesh,40,MA,2021-03-19 22:51:19,62,31.6315,-8.0083,55.4,3.44
283,Kaitangata,62,NZ,2021-03-19 22:50:58,71,-46.2817,169.8464,57.25,9.08
284,Westport,14,US,2021-03-19 22:53:24,34,41.1415,-73.3579,39.99,11.45
285,Pallasovka,100,RU,2021-03-19 22:53:24,82,50.05,46.8833,27.45,12.73
286,Namatanai,48,PG,2021-03-19 22:53:25,64,-3.6667,152.4333,85.75,4.81
287,Omboue,100,GA,2021-03-19 22:53:25,93,-1.5746,9.2618,74.35,6.78
288,Moose Factory,1,CA,2021-03-19 22:53:25,39,51.2585,-80.6094,48.2,18.41
289,Garowe,2,SO,2021-03-19 22:53:25,93,8.4054,48.4845,66.49,6.93
290,Harper,41,LR,2021-03-19 22:47:52,83,4.375,-7.7169,79.43,6.49
291,Rosita,90,NI,2021-03-19 22:53:26,64,13.9268,-84.4032,81.68,4.54
292,Caravelas,86,BR,2021-03-19 22:50:53,82,-17.7125,-39.2481,77.07,5.39
