City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Isiro,CD,2.7739,27.616,67.87,98,100,2.35,overcast clouds
214,Masuri,KR,35.8488,128.1492,48.2,70,90,12.66,haze
215,La Sarre,CA,48.8002,-79.1996,36.88,67,0,10.42,clear sky
216,Eisiskes,LT,54.1667,25.0,26.01,86,90,13.8,snow
217,Bethanien,NA,-26.502,17.1583,72.28,62,77,6.46,broken clouds
218,Vangaindrano,MG,-23.35,47.6,73.99,91,96,3.98,light rain
219,Teknaf,BD,20.8624,92.3058,74.46,53,10,4.7,clear sky
220,Ponta Do Sol,PT,32.6667,-17.1,57.0,56,65,7.0,broken clouds
221,Mugumu,TZ,-1.85,34.7,60.76,75,0,5.46,clear sky
222,Vardo,NO,70.3705,31.1107,30.36,79,61,14.25,broken clouds
223,Coihaique,CL,-45.5752,-72.0662,55.4,67,75,4.61,broken clouds
224,Ambon,ID,-3.6954,128.1814,87.8,66,20,2.3,few clouds
225,Santiago Del Estero,AR,-27.7951,-64.2615,67.05,87,100,2.44,overcast clouds
226,Ukiah,US,39.1502,-123.2078,57.2,47,1,14.97,clear sky
227,Dawlatabad,AF,36.4141,64.9053,50.07,76,24,2.44,few clouds
228,George,ZA,-33.963,22.4617,59.0,88,0,5.75,clear sky
229,Cidreira,BR,-30.1811,-50.2056,77.31,87,5,19.57,clear sky
230,Matara,LK,5.9485,80.5353,75.87,89,25,3.85,scattered clouds
231,Mount Isa,AU,-20.7333,139.5,82.4,65,100,9.22,overcast clouds
232,Pevek,RU,69.7008,170.3133,-19.12,92,6,2.59,clear sky
233,Cravo Norte,CO,6.3017,-70.2041,86.59,45,29,3.53,scattered clouds
234,Autazes,BR,-3.5797,-59.1306,74.95,93,43,1.52,moderate rain
235,Saint-Raymond,CA,45.467,-73.6095,46.4,42,0,5.75,clear sky
236,Ponta Delgada,PT,37.7333,-25.6667,59.0,67,75,5.75,broken clouds
237,Moanda,GA,-1.5575,13.2178,69.42,98,100,1.01,overcast clouds
238,Kroya,ID,-7.6331,109.2461,81.46,76,23,3.11,few clouds
239,Seoul,KR,37.5683,126.9778,44.6,75,75,9.22,mist
240,Tiksi,RU,71.6872,128.8694,-15.66,98,100,12.1,overcast clouds
241,Kamina,CD,-8.7386,24.9906,63.41,91,36,2.06,scattered clouds
242,Pestovo,RU,58.5938,35.8024,19.38,85,100,10.18,overcast clouds
243,Iqaluit,CA,63.7506,-68.5145,-13.0,70,20,6.91,few clouds
244,Viedma,AR,-40.8135,-62.9967,60.73,64,0,8.41,clear sky
245,Pitkyaranta,RU,61.5734,31.4792,29.1,97,100,14.47,light snow
246,Gao,ML,16.6362,1.637,77.31,19,93,3.11,overcast clouds
247,Nyalikungu,TZ,-3.1833,33.7833,63.54,75,0,4.59,clear sky
248,Taoudenni,ML,22.6783,-3.9836,67.5,10,0,8.46,clear sky
249,Okhotsk,RU,59.3833,143.3,12.47,86,90,6.73,overcast clouds
250,Merauke,ID,-8.4667,140.3333,84.99,69,95,6.08,overcast clouds
251,Tokur,RU,53.1333,132.9,20.32,80,97,1.41,overcast clouds
252,Watsa,CD,3.0372,29.5355,63.9,95,100,1.97,overcast clouds
253,Sukhodol,RU,53.9006,51.2117,17.02,94,100,4.43,overcast clouds
254,Harbour Breton,CA,47.4833,-55.7983,26.04,63,5,14.2,clear sky
255,Barabai,ID,-2.5833,115.3833,83.26,79,95,0.6,overcast clouds
256,Naryan-Mar,RU,67.6713,53.087,0.73,93,89,9.28,overcast clouds
257,Biu,NG,10.6129,12.1946,78.66,51,94,8.77,overcast clouds
258,Bandarbeyla,SO,9.4942,50.8122,76.26,77,4,9.19,clear sky
259,Sisimiut,GL,66.9395,-53.6735,16.2,82,59,12.93,broken clouds
260,Caloundra,AU,-26.8,153.1333,80.01,88,100,5.01,overcast clouds
261,Torbay,CA,47.6666,-52.7314,24.01,73,40,14.97,scattered clouds
262,Slobodskoy,RU,58.7322,50.1772,10.54,97,100,4.81,overcast clouds
263,Muzhi,RU,65.3667,64.6667,-13.34,96,100,9.91,overcast clouds
264,Codrington,AU,-38.2667,141.9667,67.35,75,100,10.94,overcast clouds
265,Yatou,CN,37.15,122.3833,41.25,39,0,21.32,clear sky
266,Tomohon,ID,1.3346,124.8392,86.0,70,20,4.61,few clouds
267,Beloha,MG,-25.1667,45.05,72.63,78,0,5.26,clear sky
268,Lodja,CD,-3.4833,23.4333,68.31,98,95,1.57,overcast clouds
269,Avera,US,33.194,-82.5271,53.6,50,90,10.36,overcast clouds
270,Naze,JP,28.3667,129.4833,66.2,88,75,10.36,broken clouds
271,Santa Rosa,PH,14.3122,121.1114,87.01,66,20,3.44,few clouds
272,Husavik,IS,66.0449,-17.3389,42.8,61,20,27.63,few clouds
273,Taldan,RU,53.6667,124.8,19.17,81,0,3.6,clear sky
274,Kijang,KR,35.2442,129.2139,51.8,66,40,9.22,scattered clouds
275,Ambulu,ID,-8.345,113.6058,81.61,77,25,2.17,scattered clouds
